,college,state,city,average_costs,graduation_rate,salary_after_attending,students
88,Pennsylvania State University-Penn State Harrisburg,PA,Middletown,21656.0,63.0,50100.0,4109.0
89,Rowan University,NJ,Glassboro,22224.0,69.0,50000.0,14068.0
90,California State University-Channel Islands,CA,Camarillo,14672.0,57.0,49800.0,6338.0
91,University of California-Riverside,CA,Riverside,12645.0,73.0,49700.0,19788.0
92,Oregon State University,OR,Corvallis,20581.0,64.0,49600.0,24350.0
93,Thomas Edison State University,NJ,Trenton,,,49600.0,11292.0
94,Montclair State University,NJ,Montclair,21727.0,65.0,49600.0,16653.0
95,San Francisco State University,CA,San Francisco,13655.0,52.0,49200.0,24882.0
96,Sonoma State University,CA,Rohnert Park,16721.0,60.0,49200.0,8572.0
97,California State University-Sacramento,CA,Sacramento,9266.0,47.0,48900.0,27884.0
98,Fashion Institute of Technology,NY,New York,12234.0,76.0,48900.0,8168.0
99,SUNY College at Geneseo,NY,Geneseo,18801.0,81.0,48800.0,5480.0
100,University of Kansas,KS,Lawrence,18234.0,62.0,48800.0,18845.0
101,Auburn University,AL,Auburn,21984.0,74.0,48800.0,22095.0
102,University of North Dakota,ND,Grand Forks,15045.0,55.0,48700.0,10598.0
103,The University of Texas at Arlington,TX,Arlington,13844.0,47.0,48700.0,32545.0
104,University of Michigan-Dearborn,MI,Dearborn,12200.0,53.0,48600.0,6886.0
105,West Chester University of Pennsylvania,PA,West Chester,21690.0,70.0,48400.0,14131.0
106,University of Missouri-Columbia,MO,Columbia,17157.0,69.0,48300.0,25544.0
107,University of Massachusetts-Dartmouth,MA,North Dartmouth,17923.0,47.0,48200.0,6758.0
108,CUNY Queens College,NY,Queens,6775.0,59.0,48200.0,15426.0
109,North Dakota State University-Main Campus,ND,Fargo,15394.0,55.0,48200.0,11683.0
110,University of Massachusetts-Boston,MA,Boston,12805.0,44.0,48200.0,12210.0
111,Worcester State University,MA,Worcester,19113.0,54.0,48200.0,4891.0
112,Metropolitan State University,MN,Saint Paul,15350.0,34.0,48200.0,7290.0
113,California State University-Chico,CA,Chico,13845.0,66.0,48100.0,16305.0
114,California State University-Long Beach,CA,Long Beach,9733.0,68.0,48100.0,32170.0
115,University of Wisconsin-La Crosse,WI,La Crosse,15093.0,68.0,48000.0,9517.0
116,Central Connecticut State University,CT,New Britain,16576.0,55.0,47900.0,9269.0
117,University of Houston-Clear Lake,TX,Houston,14411.0,,47900.0,5557.0
118,California State University-Bakersfield,CA,Bakersfield,6055.0,41.0,47800.0,8144.0
119,Indiana University-Bloomington,IN,Bloomington,14303.0,77.0,47700.0,32924.0
120,Arizona State University-Tempe,AZ,Tempe,11572.0,66.0,47700.0,42224.0
121,Arizona State University-Skysong,AZ,Scottsdale,13583.0,,47700.0,20490.0
122,Arizona State University-Polytechnic,AZ,Mesa,11755.0,60.0,47700.0,3861.0
123,Arizona State University-Downtown Phoenix,AZ,Phoenix,11581.0,66.0,47700.0,9232.0
124,Arizona State University-West,AZ,Glendale,7619.0,68.0,47700.0,3201.0
125,Stockton University,NJ,Galloway,19233.0,72.0,47500.0,7825.0
126,University of Wisconsin-Platteville,WI,Platteville,15468.0,54.0,47300.0,7745.0
127,California State University-San Marcos,CA,San Marcos,9451.0,52.0,47300.0,12475.0
128,University of Vermont,VT,Burlington,17831.0,76.0,47300.0,10267.0
129,University of Wyoming,WY,Laramie,12578.0,55.0,47300.0,9622.0
130,University of Arizona,AZ,Tucson,16150.0,60.0,47300.0,33402.0
131,CUNY Hunter College,NY,New York,7887.0,53.0,47200.0,15632.0
132,California State University-Fullerton,CA,Fullerton,8311.0,62.0,47200.0,34416.0
133,University of Minnesota-Duluth,MN,Duluth,16850.0,60.0,47200.0,9051.0
134,Miami University-Oxford,OH,Oxford,22307.0,79.0,47100.0,16597.0
135,Colorado State University-Fort Collins,CO,Fort Collins,18318.0,67.0,47100.0,23497.0
136,Miami University-Hamilton,OH,Hamilton,9667.0,25.0,47100.0,2672.0
137,Illinois State University,IL,Normal,20969.0,73.0,47100.0,18571.0
138,SUNY Cortland,NY,Cortland,19101.0,74.0,47000.0,6292.0
139,University of Nevada-Reno,NV,Reno,14164.0,56.0,47000.0,17786.0
140,University of California-Santa Cruz,CA,Santa Cruz,16989.0,78.0,46900.0,16962.0
141,Christopher Newport University,VA,Newport News,22965.0,72.0,46900.0,4921.0
142,University of Alabama in Huntsville,AL,Huntsville,19423.0,49.0,46700.0,6346.0
143,William Paterson University of New Jersey,NJ,Wayne,17138.0,50.0,46600.0,8972.0
144,Oklahoma State University-Main Campus,OK,Stillwater,13538.0,62.0,46500.0,20827.0
145,Central Washington University,WA,Ellensburg,14132.0,52.0,46500.0,10492.0
146,University of Nebraska-Lincoln,NE,Lincoln,17311.0,67.0,46400.0,20833.0
147,Florida State University,FL,Tallahassee,14985.0,80.0,46400.0,32417.0
148,Eastern Connecticut State University,CT,Willimantic,17542.0,55.0,46400.0,4818.0
149,CUNY City College,NY,New York,6773.0,45.0,46300.0,12609.0
150,Florida International University,FL,Miami,13398.0,57.0,46300.0,41112.0
151,University of Wisconsin-Eau Claire,WI,Eau Claire,16021.0,66.0,46200.0,9936.0
152,Ohio State University-Newark Campus,OH,Newark,16378.0,35.0,46100.0,2438.0
153,The University of Texas of the Permian Basin,TX,Odessa,6967.0,37.0,46100.0,3713.0
154,Kean University,NJ,Union,18492.0,50.0,46100.0,11656.0
155,California State University-Los Angeles,CA,Los Angeles,3996.0,46.0,46100.0,24046.0
156,Westfield State University,MA,Westfield,17058.0,64.0,46100.0,5495.0
157,Ohio State University-Main Campus,OH,Columbus,17231.0,83.0,46100.0,44762.0
158,Texas A & M International University,TX,Laredo,6429.0,41.0,45800.0,6566.0
159,Bowie State University,MD,Bowie,14826.0,39.0,45800.0,4632.0
160,University of Hawaii at Manoa,HI,Honolulu,13705.0,58.0,45800.0,12767.0
161,West Virginia University,WV,Morgantown,10997.0,57.0,45800.0,21428.0
162,Western Washington University,WA,Bellingham,15845.0,70.0,45800.0,14483.0
163,Framingham State University,MA,Framingham,18071.0,55.0,45800.0,4100.0
164,University of Missouri-Kansas City,MO,Kansas City,15764.0,49.0,45700.0,7904.0
165,Fitchburg State University,MA,Fitchburg,15280.0,53.0,45700.0,4073.0
166,Texas State University,TX,San Marcos,14725.0,54.0,45700.0,34244.0
167,Kansas State University,KS,Manhattan,17023.0,62.0,45600.0,19151.0
168,Northern Illinois University,IL,Dekalb,19944.0,49.0,45500.0,14036.0
169,California State University-Northridge,CA,Northridge,6569.0,50.0,45400.0,35605.0
170,California State University-Stanislaus,CA,Turlock,6889.0,56.0,45400.0,8610.0
171,University of Alaska Anchorage,AK,Anchorage,12680.0,24.0,45400.0,11833.0
172,University of Central Florida,FL,Orlando,15409.0,70.0,45400.0,55113.0
173,Bridgewater State University,MA,Bridgewater,19382.0,58.0,45300.0,9387.0
174,The University of Texas at San Antonio,TX,San Antonio,12981.0,33.0,45300.0,24036.0
175,Southern Connecticut State University,CT,New Haven,16931.0,52.0,45300.0,7963.0
176,Western Connecticut State University,CT,Danbury,18237.0,48.0,45200.0,5001.0
177,University of Kentucky,KY,Lexington,17617.0,63.0,45100.0,22244.0
178,University of Wisconsin-Stout,WI,Menomonie,15929.0,56.0,45100.0,8202.0
179,The University of Tennessee-Knoxville,TN,Knoxville,19076.0,70.0,45100.0,21984.0
180,University of North Texas at Dallas,TX,Dallas,6657.0,33.0,45000.0,2257.0
181,University of Nevada-Las Vegas,NV,Las Vegas,10726.0,41.0,45000.0,24197.0
182,University of Houston-Downtown,TX,Houston,7932.0,15.0,45000.0,12758.0
183,Western Michigan University,MI,Kalamazoo,16824.0,54.0,45000.0,17984.0
184,State University of New York at New Paltz,NY,New Paltz,16333.0,73.0,45000.0,6582.0
185,Shippensburg University of Pennsylvania,PA,Shippensburg,20796.0,56.0,45000.0,5837.0
186,University of North Texas,TX,Denton,13759.0,52.0,45000.0,31241.0
187,University of Arkansas,AR,Fayetteville,15648.0,64.0,44900.0,22254.0
188,Minnesota State University-Mankato,MN,Mankato,15455.0,50.0,44900.0,12154.0
189,CUNY John Jay College of Criminal Justice,NY,New York,6707.0,39.0,44900.0,12175.0
190,University of South Carolina-Columbia,SC,Columbia,19095.0,73.0,44900.0,24970.0
191,Bismarck State College,ND,Bismarck,9480.0,45.0,44800.0,3060.0
192,California State University-Monterey Bay,CA,Seaside,10925.0,54.0,44800.0,6541.0
193,University of Oregon,OR,Eugene,15619.0,72.0,44800.0,19775.0
194,California State University-Dominguez Hills,CA,Carson,3221.0,38.0,44700.0,12666.0
195,Portland State University,OR,Portland,15762.0,45.0,44700.0,19057.0
196,Winona State University,MN,Winona,17845.0,59.0,44700.0,7485.0
197,California State University-Fresno,CA,Fresno,5874.0,57.0,44700.0,21150.0
198,Texas Woman's University,TX,Denton,9027.0,40.0,44700.0,9574.0
199,Frostburg State University,MD,Frostburg,18052.0,49.0,44600.0,4779.0
200,East Stroudsburg University of Pennsylvania,PA,East Stroudsburg,18413.0,56.0,44600.0,6085.0
